2025-09-02T02:06:52Z,73066997-8068-4362-95bd-b29aa7ace6b6,hi!,q01,B,0.75,1.0,7.5,10.0,0.75
2025-09-02T02:06:52Z,73066997-8068-4362-95bd-b29aa7ace6b6,hi!,q02,B,0.75,1.0,7.5,10.0,0.75
2025-09-02T02:06:52Z,73066997-8068-4362-95bd-b29aa7ace6b6,hi!,q03,B,1.0,1.0,7.5,10.0,0.75
2025-09-02T02:06:52Z,73066997-8068-4362-95bd-b29aa7ace6b6,hi!,q04,B,1.0,1.0,7.5,10.0,0.75
2025-09-02T02:06:52Z,73066997-8068-4362-95bd-b29aa7ace6b6,hi!,q05,B,0.75,1.0,7.5,10.0,0.75
2025-09-02T02:06:52Z,73066997-8068-4362-95bd-b29aa7ace6b6,hi!,q06,B,0.75,1.0,7.5,10.0,0.75
2025-09-02T02:06:52Z,73066997-8068-4362-95bd-b29aa7ace6b6,hi!,q07,B,0.75,1.0,7.5,10.0,0.75
2025-09-02T02:06:52Z,73066997-8068-4362-95bd-b29aa7ace6b6,hi!,q08,B,0.5,1.0,7.5,10.0,0.75
2025-09-02T02:06:52Z,73066997-8068-4362-95bd-b29aa7ace6b6,hi!,q09,B,0.75,1.0,7.5,10.0,0.75
2025-09-02T02:06:52Z,73066997-8068-4362-95bd-b29aa7ace6b6,hi!,q10,B,0.5,1.0,7.5,10.0,0.75
2025-09-02T02:15:30Z,48ef262c-58dc-4412-8965-0e44989eae24,hi!,q01,D,1.0,1.0,6.25,10.0,0.625
2025-09-02T02:15:30Z,48ef262c-58dc-4412-8965-0e44989eae24,hi!,q02,D,1.0,1.0,6.25,10.0,0.625
2025-09-02T02:15:30Z,48ef262c-58dc-4412-8965-0e44989eae24,hi!,q03,D,0.25,1.0,6.25,10.0,0.625
2025-09-02T02:15:30Z,48ef262c-58dc-4412-8965-0e44989eae24,hi!,q04,D,0.25,1.0,6.25,10.0,0.625
2025-09-02T02:15:30Z,48ef262c-58dc-4412-8965-0e44989eae24,hi!,q05,D,0.25,1.0,6.25,10.0,0.625
2025-09-02T02:15:30Z,48ef262c-58dc-4412-8965-0e44989eae24,hi!,q06,D,0.25,1.0,6.25,10.0,0.625
2025-09-02T02:15:30Z,48ef262c-58dc-4412-8965-0e44989eae24,hi!,q07,D,0.25,1.0,6.25,10.0,0.625
2025-09-02T02:15:30Z,48ef262c-58dc-4412-8965-0e44989eae24,hi!,q08,D,1.0,1.0,6.25,10.0,0.625
2025-09-02T02:15:30Z,48ef262c-58dc-4412-8965-0e44989eae24,hi!,q09,D,1.0,1.0,6.25,10.0,0.625
2025-09-02T02:15:30Z,48ef262c-58dc-4412-8965-0e44989eae24,hi!,q10,D,1.0,1.0,6.25,10.0,0.625
